0.001,0.001,0.001,1,1,0,0,0,1,0,0,0
0.15435,0.096063,0.0979,0.87454,0.77262,-0.037203,0.00083084,0.01496,1,0,0,0
0.14501,0.058672,0.079471,0.5027,0.66909,0.0013514,-0.035338,-0.085777,-0.53429,-0.5416,-0.649,2.0033
0.14439,0.058446,0.078861,0.4983,0.66919,1.366e-07,-0.084865,0.034853,-0.70547,-0.70543,-0.068393,3.008
0.12385,0.075775,0.06865,0.52535,1.1094,0.041506,0.027536,-0.045693,-0.85396,-0.43576,-0.28436,1.9254
0.12553,0.076084,0.068413,0.51867,1.1162,-0.041555,0.047111,0.027344,-0.19051,-0.20553,-0.95993,0.90574
0.065381,0.17787,0.052747,0.50931,0.40833,-0.00082741,0.03737,-0.12005,0.52341,0.66799,0.529,1.9917
0.093277,0.049781,0.075195,0.47578,0.8109,0.049577,-0.0058808,0.0038328,0.96084,0.23763,0.14253,1.6289
0.071611,0.029852,0.044237,0.45555,0.74547,0.010839,0.01138,0.078615,0.86947,0.31223,0.3828,1.733
0.001,0.001,0.001,1,1,0,0,0,1,0,0,0
0.15435,0.096063,0.0979,0.87454,0.77262,-0.037203,0.00083084,0.01496,1,0,0,0
0.14501,0.058672,0.079471,0.5027,0.66909,0.0013514,-0.035338,-0.085777,-0.53429,-0.5416,-0.649,2.0033
0.14439,0.058446,0.078861,0.4983,0.66919,1.366e-07,-0.084865,0.034853,-0.70547,-0.70543,-0.068393,3.008
0.12385,0.075775,0.06865,0.52535,1.1094,0.041506,0.027536,-0.045693,-0.85396,-0.43576,-0.28436,1.9254
0.12553,0.076084,0.068413,0.51867,1.1162,-0.041555,0.047111,0.027344,-0.19051,-0.20553,-0.95993,0.90574
0.065381,0.17787,0.052747,0.50931,0.40833,-0.00082741,0.03737,-0.12005,0.52341,0.66799,0.529,1.9917
0.093277,0.049781,0.075195,0.47578,0.8109,0.049577,-0.0058808,0.0038328,0.96084,0.23763,0.14253,1.6289
0.071611,0.029852,0.044237,0.45555,0.74547,0.010839,0.01138,0.078615,0.86947,0.31223,0.3828,1.733
0.001,0.001,0.001,1,1,0,0,0,1,0,0,0
